Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
24,ORD-1024,09/12/2023,09/14/2023,Standard Class,CUST-1217,David Johnson,Corporate,United States,West,California,Office Supplies,Storage,1438.05,5,0.1,248.16
25,ORD-1025,10/15/2023,10/18/2023,Standard Class,CUST-1039,Sarah Smith,Home Office,United States,East,New York,Office Supplies,Paper,331.55,9,0.2,-5.82
26,ORD-1026,07/20/2023,07/22/2023,Second Class,CUST-1128,Mary Lopez,Home Office,United States,East,New York,Office Supplies,Labels,865.28,5,0,290.65
27,ORD-1027,09/28/2023,10/04/2023,Standard Class,CUST-1092,Jennifer Wilson,Home Office,United States,Central,Illinois,Technology,Copiers,317.56,3,0.1,-12.48
28,ORD-1028,10/01/2022,10/03/2022,Second Class,CUST-1236,Jessica Davis,Corporate,United States,South,Georgia,Technology,Accessories,1576.88,7,0,169.55
29,ORD-1029,11/07/2023,11/09/2023,Same Day,CUST-1275,David Lopez,Corporate,United States,West,California,Furniture,Chairs,802.95,2,0.15,-68.33
30,ORD-1030,08/18/2023,08/21/2023,Standard Class,CUST-1198,William Wilson,Home Office,United States,East,New York,Office Supplies,Paper,86.13,7,0.3,3.83
31,ORD-1031,01/02/2022,01/07/2022,First Class,CUST-1064,James Hernandez,Home Office,United States,Central,Illinois,Furniture,Furnishings,1851.89,4,0.3,66.85
32,ORD-1032,12/01/2022,12/05/2022,First Class,CUST-1208,Richard Garcia,Home Office,United States,Central,Texas,Technology,Copiers,1397.44,3,0.3,158.85
33,ORD-1033,03/17/2023,03/24/2023,Same Day,CUST-1087,Joseph Miller,Home Office,United States,Central,Texas,Office Supplies,Paper,1164.17,6,0.4,-127.18
34,ORD-1034,04/06/2022,04/13/2022,Standard Class,CUST-1024,Michael Jones,Consumer,United States,Central,Illinois,Technology,Machines,1904.48,5,0.1,569.27
35,ORD-1035,10/07/2023,10/12/2023,Standard Class,CUST-1055,Linda Jones,Corporate,United States,East,New York,Office Supplies,Art,396.93,7,0.4,-48.61
36,ORD-1036,02/21/2022,02/26/2022,First Class,CUST-1227,Joseph Taylor,Home Office,United States,West,Oregon,Technology,Copiers,505.9,2,0.5,-103.92
37,ORD-1037,06/12/2022,06/18/2022,Same Day,CUST-1123,David Taylor,Corporate,United States,South,Georgia,Technology,Copiers,1724.37,5,0.2,-66.04
38,ORD-1038,08/29/2022,09/01/2022,Second Class,CUST-1110,Linda Gonzalez,Consumer,United States,East,Pennsylvania,Technology,Machines,678.34,2,0.3,93.43
39,ORD-1039,04/23/2023,04/27/2023,Same Day,CUST-1245,Charles Smith,Consumer,United States,South,Georgia,Office Supplies,Labels,133.91,7,0.5,-23.47
40,ORD-1040,07/06/2023,07/12/2023,First Class,CUST-1224,Jessica Davis,Corporate,United States,Central,Texas,Office Supplies,Art,1471.92,10,0.5,-594.68
41,ORD-1041,06/19/2022,06/26/2022,Standard Class,CUST-1043,Richard Jackson,Home Office,United States,South,Georgia,Office Supplies,Art,940.11,10,0.1,150.08
42,ORD-1042,02/21/2022,02/24/2022,Same Day,CUST-1130,Richard Rodriguez,Consumer,United States,West,Washington,Office Supplies,Paper,764.42,8,0.1,193.34
43,ORD-1043,12/25/2022,12/27/2022,Standard Class,CUST-1079,Linda Miller,Consumer,United States,East,New York,Technology,Phones,1303.79,1,0.5,-442.51
44,ORD-1044,08/01/2023,08/03/2023,Second Class,CUST-1160,Karen Brown,Consumer,United States,South,North Carolina,Technology,Phones,935.42,6,0.15,256.77
45,ORD-1045,11/25/2023,11/29/2023,First Class,CUST-1062,Linda Brown,Home Office,United States,East,New York,Office Supplies,Labels,799.34,4,0.4,52.6
46,ORD-1046,11/09/2023,11/12/2023,Standard Class,CUST-1222,Susan Thomas,Corporate,United States,Central,Michigan,Technology,Copiers,147.22,6,0.4,13.88
47,ORD-1047,03/22/2023,03/24/2023,Same Day,CUST-1224,Sarah Thomas,Home Office,United States,South,North Carolina,Technology,Accessories,1470.25,5,0.4,-260.47
48,ORD-1048,03/30/2022,04/02/2022,Standard Class,CUST-1254,Richard Hernandez,Corporate,United States,Central,Texas,Office Supplies,Paper,1764.45,8,0.1,253.32
49,ORD-1049,09/22/2022,09/25/2022,Standard Class,CUST-1124,Thomas Miller,Home Office,United States,South,Georgia,Furniture,Bookcases,566.52,5,0.3,-28.39
50,ORD-1050,12/09/2023,12/13/2023,Second Class,CUST-1208,James Martinez,Home Office,United States,South,Florida,Technology,Accessories,1295.35,8,0.2,-73.6
51,ORD-1051,04/30/2023,05/05/2023,First Class,CUST-1129,Joseph Rodriguez,Consumer,United States,Central,Texas,Technology,Machines,1066.53,9,0.2,161.2
52,ORD-1052,07/03/2023,07/10/2023,First Class,CUST-1052,David Jackson,Consumer,United States,West,Washington,Office Supplies,Binders,1383.43,4,0.1,93.56
53,ORD-1053,11/06/2022,11/07/2022,First Class,CUST-1065,Mary Moore,Home Office,United States,West,Washington,Office Supplies,Paper,1418.96,5,0.1,538.52
54,ORD-1054,04/26/2023,04/30/2023,Standard Class,CUST-1206,Jessica Brown,Corporate,United States,East,New York,Furniture,Bookcases,886.53,1,0.1,253.89
55,ORD-1055,07/31/2023,08/03/2023,Second Class,CUST-1268,Susan Martin,Corporate,United States,East,Pennsylvania,Furniture,Tables,179.51,2,0.1,26.72
56,ORD-1056,03/16/2023,03/19/2023,Second Class,CUST-1136,Patricia Miller,Home Office,United States,South,Florida,Office Supplies,Labels,1141.57,10,0,77.57
57,ORD-1057,07/20/2023,07/21/2023,Standard Class,CUST-1119,Jessica Martinez,Corporate,United States,West,Oregon,Furniture,Tables,321.5,8,0.2,-3.28
58,ORD-1058,03/14/2022,03/20/2022,Standard Class,CUST-1279,Michael Wilson,Consumer,United States,Central,Michigan,Technology,Copiers,474.51,10,0.15,24.9
59,ORD-1059,03/15/2022,03/16/2022,Same Day,CUST-1064,Charles Martinez,Corporate,United States,West,Oregon,Office Supplies,Paper,340.19,10,0.15,4.41
60,ORD-1060,10/06/2022,10/11/2022,First Class,CUST-1014,Susan Hernandez,Consumer,United States,Central,Texas,Technology,Copiers,1084.56,2,0.2,33.5
61,ORD-1061,08/14/2023,08/15/2023,Second Class,CUST-1300,Joseph Rodriguez,Corporate,United States,East,New Jersey,Technology,Machines,1528.59,8,0.1,254.46
62,ORD-1062,12/23/2022,12/27/2022,Same Day,CUST-1148,William Wilson,Home Office,United States,South,Georgia,Furniture,Furnishings,673.28,2,0.4,-192.54
63,ORD-1063,11/19/2022,11/22/2022,Same Day,CUST-1212,John Moore,Consumer,United States,East,New York,Office Supplies,Binders,653.31,7,0.5,-254.27
64,ORD-1064,10/03/2023,10/07/2023,Same Day,CUST-1063,Elizabeth Anderson,Consumer,United States,Central,Michigan,Technology,Copiers,1522.38,5,0.1,232.7
65,ORD-1065,11/15/2022,11/20/2022,Standard Class,CUST-1079,Patricia Anderson,Corporate,United States,West,Oregon,Technology,Accessories,37.21,2,0.2,7.4
66,ORD-1066,03/02/2023,03/09/2023,Second Class,CUST-1261,Robert Gonzalez,Home Office,United States,Central,Texas,Technology,Machines,970.17,4,0.2,91.63
67,ORD-1067,12/15/2022,12/22/2022,Same Day,CUST-1077,Elizabeth Jackson,Corporate,United States,East,New Jersey,Office Supplies,Art,1020.4,1,0.5,-129.87
68,ORD-1068,07/20/2023,07/27/2023,Same Day,CUST-1120,Linda Jackson,Corporate,United States,South,Florida,Office Supplies,Storage,1091.43,6,0.2,-99.67
69,ORD-1069,12/24/2023,12/31/2023,First Class,CUST-1052,Mary Jones,Corporate,United States,Central,Texas,Technology,Copiers,768.65,3,0.4,-94.47
70,ORD-1070,02/24/2023,03/03/2023,Same Day,CUST-1042,David Hernandez,Corporate,United States,South,North Carolina,Furniture,Tables,1313.01,2,0.1,247.8
71,ORD-1071,07/09/2023,07/10/2023,Standard Class,CUST-1052,James Wilson,Corporate,United States,South,Florida,Office Supplies,Art,1238.74,5,0.1,-60.5
72,ORD-1072,11/29/2022,12/06/2022,Same Day,CUST-1290,Linda Taylor,Home Office,United States,Central,Texas,Furniture,Chairs,121.68,6,0.15,19.01
73,ORD-1073,09/17/2023,09/24/2023,Second Class,CUST-1237,Charles Jones,Home Office,United States,West,Washington,Furniture,Chairs,771.26,4,0.4,-95.6
74,ORD-1074,04/22/2023,04/25/2023,First Class,CUST-1218,Barbara Jackson,Home Office,United States,South,Georgia,Office Supplies,Binders,1358.45,2,0.1,273.35
75,ORD-1075,01/29/2023,02/05/2023,First Class,CUST-1012,Charles Martinez,Home Office,United States,South,Georgia,Office Supplies,Paper,971.58,7,0.1,138.58
76,ORD-1076,09/13/2023,09/19/2023,Second Class,CUST-1129,Barbara Davis,Home Office,United States,Central,Michigan,Furniture,Chairs,998.49,4,0.15,76.7
77,ORD-1077,10/05/2023,10/11/2023,Standard Class,CUST-1152,Barbara Jones,Corporate,United States,West,Oregon,Technology,Phones,88.45,8,0.5,-1.33
78,ORD-1078,05/16/2022,05/23/2022,First Class,CUST-1247,David Garcia,Corporate,United States,South,North Carolina,Furniture,Tables,1083.42,9,0.15,134.55
79,ORD-1079,03/19/2022,03/21/2022,Standard Class,CUST-1203,Sarah Lopez,Consumer,United States,Central,Illinois,Furniture,Furnishings,1510.76,7,0.1,-53.29
80,ORD-1080,11/20/2023,11/26/2023,Second Class,CUST-1242,Barbara Brown,Consumer,United States,East,New Jersey,Office Supplies,Storage,1347.96,7,0.3,-229.27
81,ORD-1081,10/26/2023,10/27/2023,Standard Class,CUST-1020,Patricia Jones,Corporate,United States,Central,Illinois,Technology,Accessories,1274.45,5,0.2,9.99
82,ORD-1082,07/05/2023,07/07/2023,Standard Class,CUST-1251,Robert Wilson,Home Office,United States,East,Pennsylvania,Furniture,Tables,783.41,9,0.15,126.44
83,ORD-1083,08/11/2022,08/15/2022,First Class,CUST-1032,Barbara Moore,Corporate,United States,Central,Illinois,Furniture,Bookcases,894.94,6,0.1,317.96
84,ORD-1084,04/04/2022,04/10/2022,Second Class,CUST-1065,Mary Hernandez,Home Office,United States,West,California,Furniture,Furnishings,432.09,10,0.4,-145.61
85,ORD-1085,08/24/2023,08/26/2023,First Class,CUST-1075,Karen Smith,Consumer,United States,East,New Jersey,Technology,Accessories,1627.98,6,0.1,83.9
86,ORD-1086,11/08/2023,11/15/2023,First Class,CUST-1009,Linda Jackson,Consumer,United States,Central,Illinois,Furniture,Chairs,61.3,6,0,8.86
87,ORD-1087,06/23/2023,06/24/2023,Standard Class,CUST-1232,Thomas Jackson,Home Office,United States,East,New York,Furniture,Furnishings,1493.87,8,0.2,-74.85
88,ORD-1088,04/15/2023,04/21/2023,Same Day,CUST-1228,Susan Brown,Consumer,United States,East,New York,Technology,Machines,1928.41,8,0,228.93
89,ORD-1089,03/09/2022,03/11/2022,First Class,CUST-1233,William Gonzalez,Home Office,United States,Central,Michigan,Technology,Accessories,557.28,10,0.4,-81.79
90,ORD-1090,11/02/2023,11/08/2023,First Class,CUST-1233,Linda Wilson,Corporate,United States,South,Georgia,Furniture,Chairs,1756.64,4,0.3,11.36
91,ORD-1091,11/17/2022,11/23/2022,Same Day,CUST-1050,James Williams,Home Office,United States,East,New Jersey,Office Supplies,Art,517.23,8,0.1,191.27
92,ORD-1092,08/24/2023,08/29/2023,First Class,CUST-1160,Susan Johnson,Corporate,United States,Central,Texas,Furniture,Chairs,1127.75,2,0.4,-95.71
93,ORD-1093,08/18/2022,08/25/2022,Second Class,CUST-1220,David Jackson,Home Office,United States,West,Oregon,Furniture,Furnishings,225.35,9,0.5,-37.27
94,ORD-1094,01/30/2022,02/01/2022,Second Class,CUST-1074,Barbara Smith,Home Office,United States,East,New Jersey,Technology,Machines,553.81,5,0.5,-229.66
95,ORD-1095,10/11/2023,10/12/2023,Second Class,CUST-1190,Joseph Hernandez,Corporate,United States,South,North Carolina,Furniture,Tables,192.6,4,0.3,5.92
96,ORD-1096,02/23/2022,02/25/2022,Same Day,CUST-1249,David Anderson,Home Office,United States,Central,Illinois,Technology,Phones,323.25,1,0.3,-33.39
97,ORD-1097,06/09/2023,06/10/2023,First Class,CUST-1024,Charles Thomas,Consumer,United States,South,Georgia,Office Supplies,Paper,696.89,5,0,135.76
98,ORD-1098,11/05/2022,11/07/2022,Same Day,CUST-1221,Patricia Smith,Consumer,United States,East,New York,Furniture,Tables,1537.03,5,0.5,-200.2
99,ORD-1099,05/28/2023,06/02/2023,Standard Class,CUST-1236,Mary Wilson,Consumer,United States,South,Georgia,Technology,Accessories,1668.37,6,0.5,-54.11
100,ORD-1100,12/28/2023,01/03/2024,Same Day,CUST-1186,William Garcia,Consumer,United States,South,Georgia,Technology,Copiers,841.21,7,0,412.71
101,ORD-1101,08/27/2023,08/31/2023,Second Class,CUST-1040,Linda Hernandez,Home Office,United States,East,New Jersey,Furniture,Furnishings,1052.69,5,0.2,-37.49
102,ORD-1102,12/24/2022,12/27/2022,Second Class,CUST-1089,Robert Rodriguez,Home Office,United States,East,New York,Technology,Accessories,1457.48,3,0.5,-154.96
103,ORD-1103,04/21/2023,04/28/2023,First Class,CUST-1162,Charles Martin,Consumer,United States,East,Pennsylvania,Furniture,Furnishings,1131.83,8,0.3,-120.55
104,ORD-1104,10/09/2023,10/12/2023,Same Day,CUST-1232,James Martinez,Consumer,United States,East,New York,Office Supplies,Art,1594.7,1,0.3,66.38
105,ORD-1105,10/23/2023,10/30/2023,Standard Class,CUST-1231,Richard Anderson,Home Office,United States,Central,Michigan,Office Supplies,Binders,1954.96,10,0,454.85
106,ORD-1106,05/03/2023,05/08/2023,Second Class,CUST-1021,William Williams,Consumer,United States,West,Oregon,Office Supplies,Labels,310.21,8,0,140.66
107,ORD-1107,06/20/2023,06/25/2023,Standard Class,CUST-1172,William Martin,Consumer,United States,South,Georgia,Office Supplies,Labels,325.9,5,0.15,57.25
108,ORD-1108,10/18/2022,10/21/2022,Second Class,CUST-1180,William Williams,Corporate,United States,East,New Jersey,Technology,Copiers,1450.23,10,0.4,-424.88
109,ORD-1109,11/14/2022,11/19/2022,Same Day,CUST-1261,Thomas Williams,Corporate,United States,South,Florida,Furniture,Chairs,759.59,6,0.5,-277.96
110,ORD-1110,08/08/2022,08/11/2022,Standard Class,CUST-1152,Robert Jones,Consumer,United States,Central,Michigan,Office Supplies,Paper,1895.86,4,0.2,375.49
111,ORD-1111,09/25/2023,09/27/2023,Same Day,CUST-1023,Karen Garcia,Corporate,United States,East,Pennsylvania,Technology,Machines,1198.52,3,0.1,381.87
112,ORD-1112,10/19/2022,10/26/2022,Second Class,CUST-1189,Elizabeth Thomas,Home Office,United States,West,Oregon,Office Supplies,Labels,1499.59,4,0.2,89.52
113,ORD-1113,01/27/2023,02/01/2023,Standard Class,CUST-1247,Robert Rodriguez,Corporate,United States,South,North Carolina,Office Supplies,Storage,1059.64,4,0.1,41.79
114,ORD-1114,10/19/2022,10/20/2022,Standard Class,CUST-1114,Robert Wilson,Corporate,United States,East,Pennsylvania,Technology,Phones,1528.6,8,0.15,-87.72
115,ORD-1115,02/10/2023,02/15/2023,Standard Class,CUST-1172,John Hernandez,Consumer,United States,East,New York,Office Supplies,Binders,754.18,2,0.2,99.02
116,ORD-1116,12/14/2023,12/21/2023,Standard Class,CUST-1132,John Williams,Consumer,United States,East,New York,Office Supplies,Art,286.2,8,0.4,-29.16
117,ORD-1117,09/01/2022,09/04/2022,Standard Class,CUST-1057,Karen Anderson,Corporate,United States,South,North Carolina,Furniture,Bookcases,252.48,7,0.1,28.4
118,ORD-1118,05/28/2022,05/31/2022,Standard Class,CUST-1269,Susan Garcia,Corporate,United States,East,New York,Technology,Accessories,864.19,6,0.3,79.29
119,ORD-1119,02/14/2022,02/20/2022,First Class,CUST-1124,Barbara Williams,Home Office,United States,East,New Jersey,Office Supplies,Art,779.89,5,0.15,10.69
120,ORD-1120,05/17/2022,05/18/2022,Second Class,CUST-1070,Joseph Thomas,Consumer,United States,East,New Jersey,Technology,Machines,711.08,3,0.15,-16.83
121,ORD-1121,07/26/2022,07/27/2022,Same Day,CUST-1130,Thomas Gonzalez,Consumer,United States,South,North Carolina,Furniture,Bookcases,1584.31,6,0,126.72
122,ORD-1122,02/18/2022,02/25/2022,Same Day,CUST-1198,Susan Gonzalez,Corporate,United States,West,California,Office Supplies,Storage,1314.91,2,0.15,-12.76
123,ORD-1123,01/12/2023,01/19/2023,Second Class,CUST-1280,James Wilson,Corporate,United States,South,Georgia,Technology,Copiers,1043.36,2,0.5,-341.37
124,ORD-1124,11/08/2023,11/11/2023,Same Day,CUST-1022,Joseph Lopez,Home Office,United States,East,Pennsylvania,Furniture,Bookcases,619.93,7,0.3,77.5
125,ORD-1125,03/18/2022,03/24/2022,Second Class,CUST-1225,Jennifer Smith,Consumer,United States,South,Florida,Office Supplies,Binders,1278.65,9,0.15,-13.42
126,ORD-1126,01/06/2023,01/10/2023,First Class,CUST-1228,Joseph Lopez,Consumer,United States,East,New Jersey,Furniture,Bookcases,1899.44,10,0,818.57
127,ORD-1127,02/12/2023,02/15/2023,Same Day,CUST-1288,Jennifer Thomas,Consumer,United States,West,Washington,Technology,Machines,1302.63,2,0.1,505.86
128,ORD-1128,08/08/2022,08/13/2022,Second Class,CUST-1228,James Anderson,Consumer,United States,Central,Michigan,Technology,Copiers,578.3,4,0.2,141.58
129,ORD-1129,12/28/2023,12/29/2023,Second Class,CUST-1063,Jennifer Lopez,Consumer,United States,Central,Texas,Technology,Machines,1104.49,5,0.15,-36.57
130,ORD-1130,01/05/2023,01/10/2023,First Class,CUST-1204,James Williams,Home Office,United States,West,Oregon,Office Supplies,Binders,1148.83,9,0.2,277.56
131,ORD-1131,02/24/2023,03/03/2023,First Class,CUST-1066,Joseph Anderson,Home Office,United States,South,North Carolina,Technology,Copiers,1154.05,6,0.1,128.04
132,ORD-1132,05/30/2023,06/06/2023,First Class,CUST-1116,Jennifer Garcia,Corporate,United States,West,Oregon,Furniture,Furnishings,120.27,9,0,51.85
133,ORD-1133,07/21/2022,07/27/2022,Standard Class,CUST-1258,Karen Moore,Home Office,United States,Central,Texas,Furniture,Bookcases,1913.14,3,0.15,131.51
134,ORD-1134,08/01/2023,08/02/2023,Second Class,CUST-1293,Charles Rodriguez,Corporate,United States,West,Oregon,Furniture,Bookcases,1652.22,2,0,792.31
135,ORD-1135,10/24/2022,10/30/2022,Same Day,CUST-1038,Richard Martinez,Home Office,United States,East,New York,Office Supplies,Labels,1913.73,4,0.2,-118.86
136,ORD-1136,05/11/2023,05/15/2023,Same Day,CUST-1067,William Lopez,Corporate,United States,West,Oregon,Office Supplies,Art,416.01,3,0.3,24.69
137,ORD-1137,04/23/2023,04/24/2023,Same Day,CUST-1128,Elizabeth Gonzalez,Consumer,United States,East,Pennsylvania,Office Supplies,Paper,542.27,3,0.1,193.28
138,ORD-1138,05/26/2023,05/31/2023,Same Day,CUST-1124,Richard Taylor,Consumer,United States,Central,Michigan,Furniture,Tables,938.96,8,0.15,318.84
139,ORD-1139,10/16/2022,10/20/2022,Same Day,CUST-1069,John Brown,Corporate,United States,Central,Michigan,Furniture,Chairs,1199.06,8,0.5,-154.18
140,ORD-1140,02/16/2022,02/20/2022,Same Day,CUST-1259,Elizabeth Williams,Corporate,United States,Central,Michigan,Office Supplies,Storage,111.8,4,0.3,4.12
141,ORD-1141,05/12/2022,05/13/2022,Second Class,CUST-1261,Barbara Jones,Corporate,United States,Central,Michigan,Technology,Phones,793.87,6,0.5,-199.28
142,ORD-1142,05/21/2022,05/27/2022,Second Class,CUST-1168,Karen Taylor,Home Office,United States,East,Pennsylvania,Furniture,Chairs,672.75,9,0.2,63.48
143,ORD-1143,11/03/2022,11/08/2022,Same Day,CUST-1009,Charles Martinez,Corporate,United States,West,Washington,Office Supplies,Labels,679.38,9,0.5,-162.75
144,ORD-1144,11/12/2022,11/19/2022,Second Class,CUST-1027,David Jackson,Home Office,United States,East,Pennsylvania,Office Supplies,Labels,1798.55,1,0.5,-483.11
145,ORD-1145,06/01/2022,06/08/2022,Standard Class,CUST-1226,Patricia Miller,Corporate,United States,West,Washington,Technology,Copiers,1364.65,10,0,100.04
146,ORD-1146,02/25/2023,03/02/2023,First Class,CUST-1245,Thomas Miller,Home Office,United States,West,Washington,Office Supplies,Paper,1552.19,1,0.2,-27.32
147,ORD-1147,06/30/2023,07/03/2023,First Class,CUST-1286,Michael Davis,Corporate,United States,Central,Texas,Furniture,Furnishings,1097.08,5,0.4,-191.48
148,ORD-1148,12/08/2023,12/14/2023,Standard Class,CUST-1294,David Martinez,Home Office,United States,Central,Michigan,Office Supplies,Paper,983.12,6,0.2,46.97
149,ORD-1149,05/30/2022,06/02/2022,Same Day,CUST-1110,Joseph Rodriguez,Consumer,United States,South,North Carolina,Office Supplies,Storage,93.71,2,0.4,-5.23
150,ORD-1150,05/21/2022,05/22/2022,Second Class,CUST-1027,Thomas Davis,Consumer,United States,Central,Illinois,Technology,Machines,1235.2,4,0.3,112.27
151,ORD-1151,04/13/2022,04/19/2022,Same Day,CUST-1245,Jennifer Wilson,Home Office,United States,Central,Texas,Technology,Copiers,1543.82,9,0,92.54
152,ORD-1152,10/24/2023,10/25/2023,Same Day,CUST-1091,Mary Garcia,Consumer,United States,Central,Illinois,Office Supplies,Storage,1816.79,10,0,718.54
153,ORD-1153,02/08/2022,02/09/2022,Same Day,CUST-1279,William Martinez,Home Office,United States,South,Georgia,Furniture,Bookcases,603.8,2,0.3,-131.51
154,ORD-1154,10/07/2022,10/09/2022,Standard Class,CUST-1173,David Garcia,Corporate,United States,West,Oregon,Technology,Copiers,1619.54,3,0.15,34.0
155,ORD-1155,03/14/2023,03/19/2023,First Class,CUST-1128,Robert Thomas,Consumer,United States,West,Washington,Furniture,Furnishings,662.57,2,0.2,143.68
156,ORD-1156,10/01/2022,10/04/2022,Standard Class,CUST-1061,Barbara Davis,Corporate,United States,South,Georgia,Furniture,Furnishings,610.87,10,0.4,57.94
157,ORD-1157,12/22/2023,12/29/2023,Second Class,CUST-1245,Linda Davis,Consumer,United States,West,Washington,Office Supplies,Labels,628.85,5,0,210.42
158,ORD-1158,04/28/2023,05/05/2023,Same Day,CUST-1271,Karen Williams,Home Office,United States,Central,Illinois,Office Supplies,Labels,1079.66,4,0.4,-262.18
159,ORD-1159,03/05/2022,03/12/2022,First Class,CUST-1267,Robert Garcia,Corporate,United States,East,New York,Technology,Phones,1099.82,4,0.3,-63.48
160,ORD-1160,04/04/2022,04/09/2022,Standard Class,CUST-1287,Susan Anderson,Corporate,United States,West,Oregon,Technology,Copiers,896.51,8,0,395.02
161,ORD-1161,02/10/2023,02/13/2023,First Class,CUST-1033,Mary Wilson,Home Office,United States,Central,Texas,Technology,Phones,1634.74,4,0.4,-261.95
162,ORD-1162,10/21/2022,10/25/2022,Same Day,CUST-1193,Richard Anderson,Consumer,United States,East,New Jersey,Office Supplies,Binders,368.16,7,0.1,85.23
163,ORD-1163,05/02/2022,05/04/2022,Standard Class,CUST-1153,Linda Smith,Corporate,United States,West,Oregon,Technology,Machines,1985.77,9,0.2,481.93
164,ORD-1164,08/24/2022,08/26/2022,Same Day,CUST-1009,Patricia Johnson,Consumer,United States,South,Florida,Technology,Copiers,926.64,5,0.1,292.06
165,ORD-1165,04/03/2023,04/08/2023,Same Day,CUST-1120,Mary Gonzalez,Home Office,United States,East,New York,Furniture,Chairs,1347.33,1,0.5,-148.38
166,ORD-1166,08/28/2022,09/04/2022,First Class,CUST-1074,William Davis,Home Office,United States,East,New Jersey,Furniture,Bookcases,1833.63,6,0.3,-109.77
167,ORD-1167,10/09/2022,10/10/2022,Same Day,CUST-1025,Susan Moore,Corporate,United States,West,Oregon,Office Supplies,Storage,1117.87,3,0.3,-91.33
